date,gold,br,ind,tw,kor,uk,us,jp,kor10y,kor3y,us10y,us3y,euro
2022-06-27,0.3978447,-0.019468794,-0.5191042,0.26357076,0.5320064,0.61559117,-0.65971863,-0.9400532,0.45670167,0.33585256,0.39990795,0.36955,1.1535
2022-06-28,0.8745453,-0.018588493,-0.5132221,0.2667075,0.30435616,0.5544261,-0.66703284,-0.93709064,0.449403,0.33356643,0.39794427,0.36838722,-0.4684
2022-06-29,0.60450953,-0.00045130635,-0.5109821,0.2644638,0.42580873,0.60749024,-0.67799413,-0.8988702,0.45530918,0.3356682,0.39697364,0.3669892,1.4366
2022-06-30,1.1846129,0.04323857,-0.5106836,0.25122505,0.53267115,0.6207253,-0.68035775,-0.94362724,0.45704353,0.3358361,0.39914238,0.3686039,0.8243
2022-07-01,0.7131451,0.05541684,-0.487036,0.23052518,0.4865479,0.6113812,-0.66937345,-0.8884219,0.4592314,0.33868772,0.40381217,0.37352172,1.2052
2022-07-04,1.2115568,0.046796296,-0.46726277,0.19291237,0.18746501,0.54578054,-0.6664821750000001,-0.89507496,0.46971533,0.34739196,0.40623261,0.37666799500000003,-0.1184
2022-07-05,0.65591085,0.063630395,-0.47697997,0.18099806,-0.71438164,0.47411478,-0.6635909,-0.93337584,0.47060078,0.35027516,0.40865305,0.37981427,-0.3245
2022-07-06,0.36783755,0.05089369,-0.478166,0.16061981,-0.26114893,0.5286019,-0.65518075,-0.935627,0.47905734,0.35490924,0.4127082,0.383618,1.75
2022-07-07,0.55662376,0.008528447,-0.48140574,0.13323167,0.76235837,0.59892654,-0.6565995,-0.9331573,0.4857224,0.36395532,0.40920296,0.377793,-1.3218
2022-07-08,-0.03321249,-0.005960996,-0.4854483,0.14132448,0.9115128,0.585286,-0.64073646,-0.91959476,0.48479387,0.35925996,0.40293208,0.37241855,-0.0048
2022-07-11,0.94899994,0.036777724,-0.4672476,0.13958634,0.98252255,0.5462674,-0.64064384,-0.91831183,0.47396696,0.35090715,0.39715293,0.3692099,-2.7153
2022-07-12,0.97414124,0.037675057,-0.47528204,0.10961091,0.3634776,0.5084666,-0.6245184,-0.98014235,0.47074413,0.34990168,0.39602637,0.3678885,-0.799
2022-07-13,0.18376029,0.04353494,-0.48520753,0.099063054,-0.13798496,0.58160746,-0.61575484,-0.9473009,0.4702289,0.35004544,0.39855325,0.36940897,-0.3724
2022-07-14,0.80489576,0.06734142,-0.4940021,0.09368008,-0.15610972,0.6027354,-0.58188486,-0.9679123,0.47167757,0.35577673,0.400173,0.36810106,-1.0949
2022-07-15,0.6487845,0.061643276,-0.5005938,0.10768736,-0.17399135,0.6021865,-0.5653741,-0.9320295,0.47002152,0.34972674,0.3992264,0.3651688,-0.2165
2022-07-18,0.31370032,0.07285119,-0.4822135,0.1300908,0.0038079247,0.57491195,-0.55366284,-0.94492168,0.47113973,0.35135442,0.39827323,0.365681,1.5526
2022-07-19,0.66216147,0.04073913,-0.47255555,0.15025553,0.6738443,0.6042375,-0.5349435,-0.95781386,0.4683351,0.35338944,0.39803034,0.36608207,0.3148
2022-07-20,0.67230105,0.050153557,-0.4623758,0.16864808,1.043137,0.6178129,-0.535599,-0.9628813,0.465843,0.34870422,0.39492884,0.3636489,0.4783
2022-07-21,0.23464566,0.042046573,-0.4523601,0.16892783,0.9963384,0.63208634,-0.54486114,-0.936265,0.45404667,0.34414238,0.39282694,0.36235452,1.0595
2022-07-22,0.38804352,0.050066475,-0.44437456,0.1807904,0.25776532,0.5792363,-0.5495109,-0.9515747,0.45099026,0.34238493,0.39427024,0.36505654,-0.2858
2022-07-25,-0.092957266,0.04929376,-0.45085624,0.16675967,-0.42199323,0.5399747,-0.5554252,-0.98600113,0.454142,0.34815556,0.4007132,0.37364435,-1.68
2022-07-26,0.50724125,0.057795193,-0.45206815,0.16005243,-0.36151034,0.5332039,-0.55623853,-1.0479031,0.45947906,0.35188633,0.40427887,0.3776163,-1.214
2022-07-27,1.2329935,0.05448388,-0.44920483,0.15238532,-0.09929002,0.55904776,-0.56320685,-1.0521375,0.46188235,0.35201067,0.40398243,0.37615606,1.8463
2022-07-28,0.9930681,0.055608403,-0.44133207,0.15755105,-0.1206639,0.5704681,-0.5922733,-1.0759554,0.46537513,0.35178536,0.40404403,0.37752736,-0.05
2022-07-29,0.6879176,0.06513419,-0.43453002,0.15795478,0.8206771,0.51095885,-0.6175547,-1.042534,0.45808968,0.35464644,0.40560883,0.382899,-1.374
2022-08-01,0.47303617,0.07636768,-0.3279779,0.17638196,1.0172257,0.5145348,-0.6057993,-1.0509762,0.46110606,0.36002856,0.40845066,0.3865446,0.9955
2022-08-02,0.50858945,0.046412766,-0.31375334,0.14613245,0.6752004,0.5223034,-0.6100482,-1.0856063,0.45680732,0.35420132,0.40857136,0.3844399,-0.6879
2022-08-03,0.81297827,0.03379772,-0.30259824,0.14407945,0.285027,0.5267181,-0.6297648,-1.0322155,0.46034127,0.3564325,0.40281174,0.3747278,0.4419
2022-08-04,0.83087796,0.02169509,-0.29206815,0.14103606,0.029309519,0.51165146,-0.6315792,-1.0630208,0.45678842,0.35286516,0.39775303,0.36972165,-1.2094
